Phoneme,Start Time,End Time
aa,26.08,26.19
p,26.19,26.28
er,26.28,26.34
t,26.34,26.44
uw,26.44,26.51
n,26.51,26.59
ah,26.59,26.64
t,26.64,26.65
iy,26.65,26.66
t,26.67,26.74
uw,26.74,26.87
jh,27.88,27.89
ih,27.89,27.9
s,27.9,27.91
t,27.91,27.96
l,28.28,28.32
eh,28.32,28.33
t,28.33,28.34
ih,28.51,28.52
t,28.52,28.57
aw,28.58,28.72
t,28.72,28.85
dh,28.85,28.87
eh,28.87,29.03
r,29.03,29.16
t,29.32,29.41
ao,29.41,29.47
k,29.47,29.53
ah,29.54,29.59
b,29.59,29.64
aw,29.64,29.67
t,29.67,29.7
m,29.74,29.82
ay,29.82,29.9
ow,29.9,30.03
n,30.03,30.09
ih,30.09,30.14
k,30.14,30.19
s,30.19,30.31
p,30.31,30.39
ih,30.39,30.49
r,30.49,30.56
iy,30.56,30.58
ah,30.58,30.64
n,30.64,30.74
s,30.74,30.83
ih,30.83,30.96
z,30.96,31.21
t,31.29,31.39
ao,31.39,31.44
k,31.44,31.52
ah,31.52,31.55
b,31.55,31.62
aw,31.62,31.69
t,31.69,31.7
ao,31.71,31.83
l,31.83,31.91
dh,31.91,31.95
iy,31.95,32.03
z,32.03,32.11
m,32.15,32.37
ih,32.37,32.43
th,32.43,32.52
s,32.52,32.58
ah,32.67,32.75
n,32.75,32.81
d,32.81,32.83
ah,32.83,32.89
s,32.89,32.96
ah,32.96,33.03
m,33.03,33.06
p,33.06,33.13
sh,33.13,33.18
ah,33.18,33.25
n,33.25,33.32
z,33.32,33.39
ah,34.09,34.17
n,34.17,34.19
d,34.19,34.22
ay,34.22,34.23
w,34.23,34.29
ao,34.29,34.34
n,34.34,34.38
t,34.38,34.45
t,34.85,34.86
ah,34.86,34.87
g,34.87,34.88
eh,34.88,34.94
t,34.94,35.02
r,35.02,35.13
ih,35.13,35.19
d,35.19,35.22
ah,35.22,35.3
v,35.3,35.39
ih,35.39,35.46
t,35.46,35.61
ah,35.94,36.03
n,36.03,36.06
d,36.06,36.11
t,36.36,36.47
uw,36.47,36.66
hh,36.69,36.77
eh,36.77,36.85
l,36.85,36.89
p,36.89,36.99
y,37.0,37.05
uw,37.05,37.19
ah,37.24,37.31
n,37.31,37.37
d,37.37,37.43
er,37.43,37.46
s,37.46,37.51
t,37.51,37.6
ae,37.6,37.69
n,37.69,37.7
d,37.7,37.75
ah,37.78,37.86
b,37.86,37.91
ih,37.91,37.96
t,37.96,38.02
m,38.02,38.12
ao,38.12,38.24
r,38.24,38.29
ah,38.32,38.38
b,38.38,38.45
aw,38.45,38.49
t,38.49,38.5
hh,38.64,38.65
w,38.65,38.91
ah,38.91,38.96
t,38.96,39.06
ih,39.18,39.31
z,39.31,39.39
l,39.45,39.6
ih,39.6,39.65
p,39.65,39.71
ah,40.31,40.4
n,40.4,40.41
d,40.41,40.52
w,40.52,40.68
ah,40.68,40.73
t,40.73,40.76
ih,40.8,40.94
z,40.94,41.02
l,41.04,41.15
ih,41.15,41.22
p,41.22,41.32
l,41.66,41.82
ay,41.82,41.92
k,41.92,42.02
f,42.03,42.16
ao,42.16,42.31
r,42.31,42.38
dh,42.43,42.56
ow,42.56,42.64
z,42.64,42.71
hh,42.72,42.78
uw,42.78,42.81
aa,42.81,42.9
r,42.9,42.94
d,42.94,43.11
eh,43.11,43.2
f,43.2,43.38
ae,43.45,43.53
n,43.53,43.58
d,43.58,43.62
hh,43.63,43.7
aa,43.7,43.75
r,43.75,43.78
d,43.78,43.81
ah,43.81,43.85
v,43.85,43.93
hh,43.93,43.97
iy,43.97,44.05
r,44.05,44.11
ih,44.11,44.13
ng,44.13,44.26
ay,44.65,44.77
w,44.77,44.84
ao,44.84,44.89
n,44.89,44.9
t,44.9,44.95
t,44.96,45.0
ih,45.0,45.04
t,45.04,45.1
ao,45.1,45.15
k,45.15,45.22
ah,45.22,45.28
b,45.28,45.32
aw,45.32,45.35
t,45.35,45.38
m,45.41,45.49
ay,45.49,45.57
ow,45.57,45.69
n,45.69,45.75
ih,45.75,45.79
k,45.79,45.86
s,45.86,45.99
p,45.99,46.06
ih,46.06,46.18
r,46.18,46.24
iy,46.24,46.3
ah,46.3,46.33
n,46.33,46.34
s,46.34,46.35
ih,46.35,46.36
z,46.36,46.59
ah,46.63,46.71
v,46.71,46.81
l,46.81,46.85
ih,46.85,46.91
p,46.91,47.01
r,47.01,47.05
iy,47.05,47.11
d,47.11,47.13
ih,47.13,47.14
ng,47.14,47.24
b,47.24,47.28
ih,47.28,47.33
k,47.33,47.39
ao,47.39,47.49
z,47.49,47.6
ae,47.68,47.83
z,47.83,47.92
ao,47.92,47.96
l,47.96,48.04
w,48.04,48.16
iy,48.16,48.24
z,48.24,48.26
eh,48.48,48.59
v,48.59,48.68
r,48.68,48.69
iy,48.69,48.74
w,48.74,48.76
ah,48.76,48.82
n,48.82,48.86
z,48.86,48.91
ih,48.91,48.95
k,48.95,49.01
s,49.01,49.1
p,49.1,49.15
ih,49.15,49.32
r,49.32,49.35
iy,49.35,49.36
ah,49.36,49.38
n,49.38,49.41
s,49.41,49.45
ih,49.49,49.7
z,49.7,49.76
ah,49.82,49.88
b,49.88,49.92
ih,49.92,49.97
t,49.97,50.04
d,50.04,50.07
ih,50.07,50.17
f,50.17,50.24
r,50.24,50.25
ah,50.25,50.33
n,50.33,50.39
t,50.39,50.46
b,50.7,50.79
ah,50.79,50.87
t,50.87,50.95
b,50.99,51.08
ih,51.08,51.14
f,51.14,51.23
ao,51.23,51.28
r,51.28,51.32
w,51.32,51.37
iy,51.37,51.41
d,51.41,51.49
uw,51.49,51.58
dh,51.58,51.64
ae,51.64,51.71
t,51.71,51.76
ay,51.8,51.95
t,52.29,52.32
uw,52.32,52.41
k,52.41,52.49
l,52.49,52.56
eh,52.56,52.57
r,52.57,52.64
ah,52.64,52.68
f,52.68,52.78
ay,52.78,53.02
w,53.16,53.36
ah,53.36,53.44
n,53.44,53.52
th,53.52,53.6
ih,53.6,53.69
ng,53.69,53.84
w,54.2,54.39
ih,54.39,54.46
ch,54.46,54.61
ih,54.61,54.74
z,54.74,54.84
n,54.98,55.18
aa,55.18,55.29
t,55.29,55.38
ao,55.42,55.65
l,55.65,55.75
d,55.75,55.89
eh,55.89,56.0
f,56.0,56.21
ao,56.3,56.42
r,56.42,56.47
hh,56.47,56.53
aa,56.53,56.6
r,56.6,56.63
d,56.63,56.64
ah,56.64,56.68
v,56.68,56.78
hh,56.78,56.8
iy,56.8,56.84
r,56.84,56.9
ih,56.9,56.93
ng,56.93,56.99
p,56.99,57.02
iy,57.02,57.09
p,57.09,57.15
ah,57.15,57.19
l,57.19,57.33
k,57.54,57.64
ae,57.64,57.74
n,57.74,57.84
l,57.88,58.01
ih,58.01,58.07
p,58.07,58.13
r,58.13,58.22
iy,58.22,58.31
d,58.31,58.39
eh,58.84,58.97
v,58.97,59.05
r,59.05,59.06
iy,59.06,59.13
w,59.13,59.16
ah,59.16,59.22
n,59.22,59.27
ih,59.27,59.34
z,59.34,59.41
d,59.41,59.46
ih,59.46,59.56
f,59.56,59.64
r,59.64,59.65
ah,59.65,59.75
n,59.75,59.82
t,59.82,59.88
ah,60.07,60.17
n,60.17,60.21
d,60.21,60.22
ih,60.22,60.29
t,60.29,60.33
s,60.33,60.42
k,60.66,60.76
ay,60.76,60.84
n,60.84,60.88
d,60.88,60.93
ah,60.93,60.99
v,60.99,61.09
l,61.09,61.11
ay,61.11,61.18
k,61.18,61.25
ey,61.29,61.42
s,61.42,61.55
k,61.55,61.64
ih,61.64,61.72
l,61.72,61.82
t,61.82,61.91
uw,61.91,61.99
l,61.99,62.11
er,62.11,62.21
n,62.21,62.28
b,62.28,62.34
ah,62.34,62.4
t,62.4,62.41
ih,62.41,62.42
t,62.42,62.46
s,62.46,62.53
ao,62.56,62.67
l,62.67,62.76
s,62.76,62.84
ow,62.84,62.9
d,62.9,62.98
ih,62.98,63.02
p,63.02,63.1
eh,63.1,63.16
n,63.16,63.21
d,63.21,63.27
ah,63.27,63.35
n,63.35,63.41
t,63.41,63.47
m,63.73,63.92
eh,63.92,63.99
n,63.99,64.07
iy,64.07,64.2
ah,64.23,64.34
dh,64.34,64.41
er,64.41,64.55
f,64.59,64.7
ae,64.7,64.77
k,64.77,64.86
t,64.86,64.96
er,64.96,65.03
z,65.03,65.13
s,65.68,65.77
ow,65.77,65.83
t,65.83,65.9
ey,65.9,65.96
k,65.96,66.02
f,66.02,66.09
er,66.09,66.18
ih,66.18,66.21
g,66.21,66.25
z,66.25,66.3
ae,66.3,66.36
m,66.36,66.43
p,66.43,66.48
ah,66.48,66.5
l,66.5,66.53
m,66.6,66.67
ay,66.67,66.74
ow,66.74,66.86
n,66.86,66.91
ih,66.91,66.96
k,66.96,67.01
s,67.01,67.1
p,67.1,67.16
ih,67.16,67.25
r,67.25,67.28
iy,67.28,67.32
ah,67.32,67.33
n,67.33,67.42
s,67.42,67.47
ih,67.47,67.54
z,67.54,67.6
ah,67.64,67.75
n,67.75,67.85
d,67.85,67.9
p,67.93,67.98
iy,67.98,68.02
p,68.02,68.07
ah,68.07,68.11
l,68.11,68.17
hh,68.18,68.24
ae,68.24,68.27
v,68.27,68.34
ae,68.37,68.5
s,68.5,68.54
t,68.54,68.62
m,68.62,68.69
iy,68.69,68.84
hh,68.85,68.98
aw,68.98,69.08
d,69.1,69.16
ih,69.16,69.2
d,69.2,69.27
y,69.27,69.33
uw,69.33,69.43
l,69.43,69.57
er,69.57,69.65
n,69.65,69.76
l,69.77,69.85
ih,69.85,69.9
p,69.9,69.96
r,69.98,70.03
iy,70.03,70.1
d,70.1,70.12
ih,70.12,70.16
ng,70.16,70.25
ah,70.47,70.59
n,70.59,70.6
d,70.6,70.61
hh,70.86,71.0
aw,71.0,71.09
y,71.19,71.23
uw,71.23,71.35
d,71.35,71.45
uw,71.45,71.53
ih,71.53,71.58
t,71.58,71.75
ay,72.47,72.59
d,72.59,72.65
ow,72.65,72.67
n,72.67,72.72
hh,72.73,72.81
ae,72.81,72.87
v,72.87,72.92
ah,72.92,72.95
n,72.95,72.99
ae,72.99,73.03
n,73.03,73.11
s,73.11,73.16
er,73.16,73.23
f,73.23,73.28
er,73.28,73.34
dh,73.34,73.35
ah,73.35,73.36
t,73.36,73.4
ih,73.57,73.69
t,73.69,73.79
jh,73.8,73.9
ah,73.9,73.97
s,73.97,74.03
t,74.03,74.04
k,74.1,74.26
ey,74.26,74.36
m,74.36,74.44
t,74.44,74.48
ih,74.48,74.54
m,74.55,74.63
iy,74.63,74.73
ay,74.76,74.85
d,74.85,74.9
ih,74.9,74.96
n,74.96,75.11
t,75.11,75.16
d,75.17,75.24
ih,75.24,75.32
l,75.32,75.43
ih,75.43,75.48
b,75.48,75.54
er,75.54,75.63
ah,75.63,75.64
t,75.64,75.7
l,75.7,75.77
iy,75.77,75.91
l,76.14,76.29
er,76.29,76.37
n,76.37,76.43
t,76.43,76.51
uw,76.51,76.56
d,76.56,76.62
uw,76.62,76.67
ih,76.67,76.74
t,76.74,76.8
jh,76.91,77.01
ah,77.01,77.07
s,77.07,77.11
t,77.11,77.16
k,77.16,77.24
ey,77.24,77.32
m,77.32,77.47
n,77.47,77.57
ae,77.57,77.69
ch,77.69,77.85
er,77.85,77.92
ah,77.92,77.98
l,77.98,78.05
iy,78.05,78.22
f,78.36,78.53
ao,78.53,78.62
r,78.62,78.7
m,78.7,78.75
iy,78.75,78.8
b,78.8,78.84
ih,78.84,78.89
k,78.89,78.93
ao,78.93,78.98
z,78.98,79.05
ay,79.09,79.26
g,79.26,79.38
r,79.38,79.45
uw,79.45,79.52
ah,79.52,79.58
p,79.58,79.65
ih,79.95,80.09
n,80.09,80.24
ey,80.26,80.41
hh,80.42,80.51
iy,80.51,80.59
r,80.59,80.64
ih,80.64,80.68
ng,80.68,80.75
w,80.75,80.84
er,80.84,80.9
l,80.9,80.92
d,80.92,80.97
ay,81.0,81.19
g,81.19,81.28
r,81.28,81.35
uw,81.35,81.39
ah,81.39,81.44
p,81.44,81.53
ih,81.73,81.82
n,81.82,81.87
ah,81.87,81.94
hh,81.94,81.98
iy,81.98,82.05
r,82.05,82.13
ih,82.13,82.15
ng,82.15,82.23
f,82.23,82.33
ae,82.33,82.44
m,82.44,82.51
l,82.51,82.58
iy,82.58,82.7
ay,82.92,83.13
w,83.13,83.18
eh,83.18,83.22
n,83.22,83.27
t,83.27,83.32
t,83.32,83.38
uw,83.38,83.53
m,83.55,83.71
ey,83.71,83.8
n,83.8,83.9
s,83.9,83.98
t,83.98,84.04
r,84.04,84.14
iy,84.14,84.22
m,84.22,84.31
s,84.32,84.41
k,84.41,84.48
uw,84.48,84.57
l,84.57,84.73
m,84.74,84.85
ey,84.85,84.94
n,84.94,84.97
s,84.97,85.05
t,85.05,85.1
r,85.1,85.13
iy,85.13,85.21
m,85.21,85.26
y,85.26,85.29
uw,85.29,85.35
n,85.35,85.37
ah,85.37,85.43
v,85.43,85.49
er,85.49,85.59
s,85.59,85.65
ah,85.65,85.71
t,85.71,85.78
iy,85.78,86.0
ah,86.32,86.44
n,86.44,86.53
d,86.53,86.56
b,86.57,86.66
iy,86.66,86.69
ih,86.69,86.73
ng,86.73,86.81
s,86.81,86.88
er,86.88,86.98
aw,86.98,87.03
n,87.03,87.07
d,87.07,87.1
ih,87.1,87.13
d,87.13,87.17
b,87.17,87.23
ay,87.23,87.41
hh,87.49,87.62
iy,87.62,87.68
r,87.68,87.76
ih,87.76,87.78
ng,87.78,87.85
p,87.85,87.89
iy,87.89,87.96
p,87.96,88.03
ah,88.03,88.08
l,88.08,88.2
ae,88.25,88.33
t,88.33,88.43
m,88.43,88.46
ay,88.46,88.61
jh,88.62,88.77
aa,88.77,88.9
b,88.9,88.98
z,88.98,89.12
dh,89.6,89.74
ae,89.74,89.85
t,89.85,89.9
s,89.9,89.91
jh,89.94,89.99
ah,89.99,90.05
s,90.05,90.1
t,90.1,90.16
dh,90.16,90.2
ah,90.2,90.24
w,90.24,90.32
ey,90.32,90.43
ay,90.43,90.53
v,90.53,90.62
b,90.62,90.67
ih,90.67,90.76
n,90.76,90.84
l,90.84,90.89
ih,90.89,90.95
v,90.95,91.0
ih,91.0,91.03
ng,91.03,91.07
m,91.07,91.15
ay,91.15,91.24
l,91.24,91.32
ay,91.32,91.44
f,91.44,91.49
ah,91.54,91.66
n,91.66,91.74
d,91.74,91.79
b,91.79,91.84
ih,91.84,91.89
k,91.89,91.97
ao,91.97,92.03
z,92.03,92.11
ah,92.12,92.18
v,92.18,92.23
ay,92.69,92.9
n,92.9,93.07
ae,93.07,93.2
ch,93.2,93.36
r,93.36,93.41
ah,93.41,93.42
l,93.42,93.55
iy,93.55,93.74
t,94.2,94.21
ah,94.21,94.22
ah,94.24,94.34
jh,94.34,94.54
ah,94.54,94.63
s,94.63,94.71
t,94.71,94.77
dh,95.06,95.15
ah,95.15,95.21
w,95.21,95.35
ey,95.35,95.52
ay,95.55,95.7
k,95.7,95.77
ah,95.77,95.84
m,95.84,95.87
y,95.87,95.88
uw,95.88,95.91
n,95.91,95.94
ah,95.94,95.99
k,95.99,96.07
ey,96.07,96.12
t,96.12,96.18
w,96.18,96.19
ih,96.19,96.2
th,96.2,96.24
p,96.25,96.3
iy,96.3,96.37
p,96.37,96.42
ah,96.42,96.47
l,96.47,96.57
ah,96.59,96.68
n,96.68,96.73
d,96.73,96.81
t,96.81,96.88
uw,96.88,96.97
hh,96.97,97.1
iy,97.1,97.2
r,97.2,97.25
p,97.31,97.33
iy,97.33,97.41
p,97.41,97.48
ah,97.48,97.52
l,97.52,97.66
b,97.98,98.08
ay,98.08,98.41
f,98.45,98.53
ow,98.53,98.61
k,98.61,98.68
ah,98.68,98.72
s,98.72,98.76
ih,98.76,98.81
ng,98.81,98.92
ao,98.94,99.06
n,99.06,99.25
dh,99.26,99.36
eh,99.36,99.45
r,99.45,99.56
b,99.61,99.68
aa,99.68,99.74
d,99.74,99.81
iy,99.81,99.82
l,99.96,99.97
ae,99.97,99.98
ng,99.98,100.02
g,100.02,100.05
w,100.05,100.08
ah,100.08,100.15
jh,100.15,100.17
dh,100.21,100.26
eh,100.26,100.33
r,100.33,100.41
l,100.41,100.52
ih,100.52,100.58
p,100.58,100.67
s,100.67,100.95
dh,101.04,101.18
eh,101.18,101.31
r,101.31,101.45
jh,101.69,101.81
eh,101.81,101.89
s,101.89,101.98
ch,101.98,102.09
er,102.09,102.1
dh,102.1,102.11
eh,102.11,102.12
r,102.12,102.21
f,102.41,102.53
ey,102.53,102.6
sh,102.6,102.67
ah,102.67,102.72
l,102.72,102.74
ih,102.74,102.8
k,102.8,102.83
s,102.83,102.88
p,102.88,102.92
r,102.92,102.99
eh,102.99,103.04
sh,103.04,103.11
ah,103.11,103.17
n,103.17,103.22
z,103.22,103.3
ao,103.38,103.53
l,103.53,103.64
dh,103.64,103.7
iy,103.7,103.79
z,103.79,103.85
th,103.86,103.93
ih,103.93,103.99
ng,103.99,104.11
z,104.11,104.19
dh,104.44,104.54
ey,104.54,104.61
jh,104.61,104.66
ah,104.66,104.69
s,104.69,104.73
t,104.73,104.77
k,104.77,104.88
ey,104.88,104.96
m,104.96,105.18
n,105.18,105.26
ae,105.26,105.39
ch,105.39,105.56
er,105.56,105.57
ah,105.57,105.58
l,105.58,105.75
iy,105.75,105.82
t,105.82,105.92
uw,105.92,105.99
m,105.99,106.06
iy,106.06,106.19
ah,106.69,106.77
n,106.77,106.82
d,106.82,106.84
aa,106.84,106.87
n,106.87,106.93
t,106.96,107.0
aa,107.0,107.05
p,107.05,107.11
ah,107.11,107.15
v,107.15,107.23
ay,107.43,107.58
d,107.58,107.66
ih,107.66,107.74
d,107.74,107.81
hh,107.82,107.94
ae,107.94,108.07
v,108.07,108.19
ah,108.55,108.62
s,108.62,108.71
p,108.71,108.81
iy,108.81,108.85
ch,108.85,108.92
th,108.92,109.01
eh,109.01,109.03
r,109.03,109.13
ah,109.13,109.17
p,109.17,109.25
ih,109.25,109.33
s,109.33,109.35
t,109.35,109.38
ay,109.41,109.52
hh,109.52,109.57
ae,109.57,109.65
d,109.65,109.66
t,109.69,109.76
ih,109.76,109.8
g,109.8,109.87
ow,109.87,109.99
th,109.99,110.11
r,110.11,110.18
uw,110.18,110.24
dh,110.24,110.29
ae,110.29,110.38
t,110.38,110.51
p,110.83,110.91
r,110.91,110.95
ao,110.95,111.02
s,111.02,111.13
eh,111.13,111.24
s,111.24,111.3
w,111.35,111.49
ah,111.49,111.55
n,111.55,111.61
s,111.61,111.65
ah,111.65,111.75
w,111.75,111.81
iy,111.81,111.91
k,111.91,111.99
ah,112.19,112.3
n,112.3,112.33
d,112.33,112.38
ao,112.39,112.49
l,112.49,112.6
s,112.6,112.7
ow,112.7,112.9
aa,112.94,113.05
b,113.05,113.07
v,113.07,113.12
iy,113.12,113.13
ah,113.13,113.16
s,113.16,113.21
l,113.21,113.24
iy,113.24,113.31
g,113.31,113.39
ow,113.39,113.5
th,113.5,113.63
r,113.63,113.72
uw,113.72,113.8
eh,114.56,114.66
z,114.66,114.72
w,114.72,114.79
eh,114.79,114.91
l,114.91,114.99
ae,114.99,115.04
n,115.04,115.08
d,115.08,115.12
ay,115.12,115.2
r,115.23,115.24
ih,115.24,115.3
m,115.3,115.31
eh,115.31,115.38
m,115.38,115.45
b,115.45,115.49
er,115.49,115.55
d,115.55,115.62
w,115.66,115.78
ah,115.78,115.87
n,115.87,115.92
t,115.92,116.02
ay,116.02,116.21
m,116.21,116.32
er,116.48,116.59
m,116.59,116.65
eh,116.65,116.7
n,116.7,116.75
iy,116.75,116.79
t,116.79,116.87
ay,116.87,116.94
m,116.94,116.95
z,116.95,116.96
ae,117.11,117.12
k,117.12,117.13
ch,117.13,117.19
uw,117.19,117.21
ah,117.21,117.22
l,117.22,117.29
iy,117.29,117.42
ay,118.02,118.35
d,118.36,118.51
uw,118.51,118.61
dh,118.61,118.68
iy,118.68,118.77
z,118.77,118.84
t,118.87,118.99
eh,118.99,119.1
s,119.1,119.14
t,119.14,119.15
s,119.15,119.24
w,119.24,119.29
eh,119.29,119.39
r,119.39,119.43
n,119.43,119.51
aa,119.51,119.56
t,119.56,119.6
ow,119.6,119.68
n,119.68,119.72
l,119.72,119.79
iy,119.79,119.87
dh,119.87,119.94
ey,119.94,120.02
d,120.02,120.08
uw,120.08,120.17
dh,120.17,120.22
eh,120.22,120.31
r,120.31,120.41
s,120.66,120.82
aw,120.82,120.93
n,120.93,121.02
d,121.02,121.08
t,121.08,121.15
eh,121.15,121.27
s,121.27,121.29
t,121.29,121.3
s,121.3,121.35
w,121.35,121.39
eh,121.39,121.43
r,121.43,121.47
y,121.47,121.5
uw,121.5,121.55
p,121.55,121.6
uh,121.6,121.65
t,121.65,121.69
dh,121.69,121.73
ah,121.73,121.79
hh,121.79,121.87
eh,121.87,121.94
d,121.94,122.02
f,122.02,122.1
ow,122.1,122.17
n,122.17,122.23
z,122.23,122.33
ao,122.33,122.46
n,122.46,122.55
ah,122.58,122.65
n,122.65,122.73
d,122.73,122.83
hh,123.32,123.44
iy,123.44,123.54
r,123.54,123.61
dh,123.61,123.67
ah,123.67,123.72
b,123.72,123.81
iy,123.81,123.91
p,123.91,124.0
ae,124.0,124.05
n,124.05,124.08
d,124.08,124.12
y,124.12,124.13
uw,124.13,124.2
k,124.2,124.27
l,124.27,124.31
ih,124.31,124.36
k,124.36,124.44
y,124.44,124.47
uh,124.47,124.48
r,124.48,124.51
b,124.51,124.57
ah,124.57,124.65
t,124.65,124.68
ah,124.68,124.73
n,124.73,124.84
b,125.13,125.21
ah,125.21,125.28
t,125.28,125.34
dh,125.35,125.46
ey,125.46,125.55
ao,125.55,125.66
l,125.66,125.79
s,125.79,125.88
ow,125.88,125.97
l,125.97,126.03
ay,126.03,126.11
k,126.11,126.15
t,126.15,126.16
t,126.17,126.22
ih,126.22,126.27
d,126.27,126.32
uw,126.32,126.38
ah,126.38,126.41
n,126.41,126.47
ah,126.47,126.53
dh,126.53,126.6
er,126.6,126.67
th,126.67,126.73
ih,126.73,126.82
ng,126.82,126.95
w,126.98,127.1
eh,127.1,127.23
r,127.23,127.34
dh,127.38,127.49
ey,127.49,127.83
k,128.07,128.19
ah,128.19,128.27
v,128.27,128.35
er,128.35,128.44
dh,128.44,128.51
eh,128.51,128.58
r,128.58,128.61
m,128.61,128.62
aw,128.62,128.63
th,128.63,128.64
ae,128.64,128.65
n,128.65,128.68
d,128.68,128.69
dh,129.27,129.28
ey,129.28,129.47
r,129.51,129.7
iy,129.7,129.78
d,129.78,129.89
ey,129.96,130.2
w,130.21,130.39
er,130.39,130.5
d,130.5,130.56
