phoneme,start,end
s,25.92,25.99
aa,26.08,26.19
p,26.19,26.17
er,26.17,26.25
t,26.25,26.27
uw,26.27,26.32
n,26.32,26.35
ah,26.35,26.37
t,26.37,26.36
iy,26.36,26.37
t,26.67,26.74
uw,26.74,26.87
jh,27.880000000000003,27.89
ih,27.89,27.89
s,27.89,27.9
t,27.9,27.95
l,28.28,28.32
eh,28.32,28.29
t,28.29,28.3
ih,28.509999999999998,28.52
t,28.52,28.57
aw,28.58,28.72
t,28.72,28.85
dh,28.849999,28.87
eh,28.87,29.01
r,29.01,29.14
t,29.32,29.41
ao,29.41,29.38
k,29.38,29.44
ah,29.54,29.59
b,29.59,29.59
aw,29.59,29.62
t,29.62,29.65
m,29.740000000000002,29.82
ay,29.82,29.9
ow,29.9,30.03
n,30.03,30.09
ih,30.09,30.14
k,30.14,30.14
s,30.14,30.26
p,30.26,30.22
ih,30.22,30.36
r,30.36,30.29
iy,30.29,30.38
ah,30.38,30.35
n,30.35,30.48
s,30.48,30.44
ih,30.44,30.61
z,30.61,30.86
t,31.29,31.39
ao,31.39,31.34
k,31.34,31.42
ah,31.52,31.55
b,31.55,31.59
aw,31.59,31.62
t,31.62,31.63
ao,31.71,31.83
l,31.83,31.91
dh,31.91,31.95
iy,31.95,31.99
z,31.99,32.07
m,32.15,32.37
ih,32.37,32.21
th,32.21,32.46
s,32.46,32.52
ah,32.67,32.75
n,32.75,32.73
d,32.73,32.75
ah,32.83,32.89
s,32.89,32.9
ah,32.9,32.96
m,32.96,32.93
p,32.93,33.03
sh,33.03,32.98
ah,32.98,33.1
n,33.1,33.05
z,33.05,33.12
ah,34.09,34.17
n,34.17,34.11
d,34.11,34.14
ay,34.219999,34.23
w,34.230000000000004,34.29
ao,34.29,34.28
n,34.28,34.33
t,34.33,34.4
t,34.85,34.86
ah,34.86,34.87
g,34.869999,34.88
eh,34.88,34.93
t,34.93,35.01
r,35.019999999999996,35.13
ih,35.13,35.08
d,35.08,35.11
ah,35.219999,35.3
v,35.3,35.39
ih,35.389999,35.46
t,35.46,35.61
ah,35.940000999999995,36.03
n,36.03,35.97
d,35.97,36.02
t,36.36,36.47
uw,36.47,36.66
hh,36.690000999999995,36.77
eh,36.77,36.77
l,36.77,36.81
p,36.81,36.91
y,37.0,37.05
uw,37.05,37.19
ah,37.24,37.31
n,37.31,37.3
d,37.3,37.37
er,37.37,37.33
s,37.33,37.42
t,37.42,37.42
ae,37.42,37.51
n,37.51,37.43
d,37.43,37.48
ah,37.78,37.86
b,37.86,37.91
ih,37.91,37.91
t,37.91,37.97
m,38.02,38.12
ao,38.12,38.14
r,38.14,38.19
ah,38.32,38.38
b,38.38,38.39
aw,38.39,38.42
t,38.42,38.43
hh,38.64,38.65
w,38.65,38.9
ah,38.9,38.7
t,38.7,38.8
ih,39.18,39.31
z,39.31,39.39
l,39.45,39.6
ih,39.6,39.5
p,39.5,39.56
ah,40.31,40.4
n,40.4,40.32
d,40.32,40.43
w,40.519999999999996,40.68
ah,40.68,40.57
t,40.57,40.6
ih,40.8,40.94
z,40.94,41.02
l,41.04,41.15
ih,41.15,41.11
p,41.11,41.21
l,41.66,41.82
ay,41.82,41.76
k,41.76,41.86
f,42.03,42.16
ao,42.16,42.18
r,42.18,42.25
dh,42.43,42.56
ow,42.56,42.51
z,42.51,42.58
hh,42.72,42.78
uw,42.78,42.81
aa,42.81,42.9
r,42.9,42.94
d,42.94,43.11
eh,43.11,43.03
f,43.03,43.21
ae,43.45,43.53
n,43.53,43.5
d,43.5,43.54
hh,43.63,43.7
aa,43.7,43.68
r,43.68,43.73
d,43.73,43.76
ah,43.81,43.85
v,43.85,43.93
hh,43.93,43.97
iy,43.97,44.01
r,44.01,44.03
ih,44.03,44.03
ng,44.03,44.16
ay,44.65,44.77
w,44.769999999999996,44.84
ao,44.84,44.82
n,44.82,44.85
t,44.85,44.9
t,44.96,45.0
ih,45.0,45.04
t,45.04,45.1
ao,45.1,45.09
k,45.09,45.16
ah,45.22,45.28
b,45.28,45.26
aw,45.26,45.31
t,45.31,45.34
m,45.41,45.49
ay,45.49,45.57
ow,45.57,45.69
n,45.69,45.75
ih,45.75,45.79
k,45.79,45.82
s,45.82,45.92
p,45.92,45.89
ih,45.89,46.04
r,46.04,45.95
iy,45.95,46.1
ah,46.1,45.98
n,45.98,46.11
s,46.11,45.99
ih,45.99,46.12
z,46.12,46.35
ah,46.63,46.71
v,46.71,46.81
l,46.809999,46.85
ih,46.85,46.87
p,46.87,46.97
r,47.01,47.05
iy,47.05,47.07
d,47.07,47.07
ih,47.07,47.08
ng,47.08,47.18
b,47.24,47.28
ih,47.28,47.29
k,47.29,47.34
ao,47.34,47.39
z,47.39,47.5
ae,47.679999,47.83
z,47.83,47.92
ao,47.92,47.96
l,47.96,48.0
w,48.0,48.08
iy,48.08,48.08
z,48.08,48.1
eh,48.480000000000004,48.59
v,48.59,48.57
r,48.57,48.6
iy,48.6,48.62
w,48.62,48.62
ah,48.62,48.68
n,48.68,48.66
z,48.66,48.71
ih,48.91,48.95
k,48.95,48.97
s,48.97,49.04
p,49.04,49.02
ih,49.02,49.21
r,49.21,49.05
iy,49.05,49.22
ah,49.22,49.07
n,49.07,49.25
s,49.25,49.29
ih,49.49,49.7
z,49.7,49.76
ah,49.82,49.88
b,49.88,49.92
ih,49.92,49.93
t,49.93,50.0
d,50.04,50.07
ih,50.07,50.14
f,50.14,50.14
r,50.14,50.15
ah,50.15,50.22
n,50.22,50.21
t,50.21,50.28
b,50.7,50.79
ah,50.79,50.78
t,50.78,50.86
b,50.99,51.08
ih,51.08,51.05
f,51.05,51.17
ao,51.17,51.1
r,51.1,51.14
w,51.32,51.37
iy,51.37,51.41
d,51.41,51.49
uw,51.49,51.58
dh,51.58,51.64
ae,51.64,51.65
t,51.65,51.7
ay,51.799999,51.95
t,52.289999,52.32
uw,52.32,52.41
k,52.41,52.49
l,52.49,52.48
eh,52.48,52.5
r,52.5,52.55
ah,52.55,52.54
f,52.54,52.65
ay,52.65,52.89
w,53.16,53.36
ah,53.36,53.24
n,53.24,53.32
th,53.519999999999996,53.6
ih,53.6,53.61
ng,53.61,53.76
w,54.199999,54.39
ih,54.39,54.27
ch,54.27,54.42
ih,54.609999,54.74
z,54.74,54.84
n,54.980000000000004,55.18
aa,55.18,55.09
t,55.09,55.18
ao,55.42,55.65
l,55.65,55.75
d,55.75,55.89
eh,55.89,55.86
f,55.86,56.07
ao,56.3,56.42
r,56.42,56.47
hh,56.47,56.53
aa,56.53,56.54
r,56.54,56.56
d,56.56,56.57
ah,56.64,56.68
v,56.68,56.78
hh,56.78,56.8
iy,56.8,56.82
r,56.82,56.86
ih,56.86,56.85
ng,56.85,56.91
p,56.99,57.02
iy,57.02,57.06
p,57.06,57.08
ah,57.08,57.1
l,57.1,57.24
k,57.54,57.64
ae,57.64,57.64
n,57.64,57.74
l,57.88,58.01
ih,58.01,57.94
p,57.94,58.0
r,58.13,58.22
iy,58.22,58.22
d,58.22,58.3
eh,58.84,58.97
v,58.97,58.92
r,58.92,58.98
iy,58.98,58.99
w,58.99,59.01
ah,59.01,59.05
n,59.05,59.1
ih,59.269999999999996,59.34
z,59.34,59.41
d,59.41,59.46
ih,59.46,59.51
f,59.51,59.54
r,59.54,59.52
ah,59.52,59.64
n,59.64,59.59
t,59.59,59.65
ah,60.07,60.17
n,60.17,60.11
d,60.11,60.12
ih,60.22,60.29
t,60.29,60.26
s,60.26,60.35
k,60.66,60.76
ay,60.76,60.74
n,60.74,60.8
d,60.8,60.85
ah,60.93,60.99
v,60.99,61.09
l,61.09,61.11
ay,61.11,61.16
k,61.16,61.23
ey,61.29,61.42
s,61.42,61.55
k,61.55,61.51
ih,61.51,61.63
l,61.63,61.73
t,61.82,61.91
uw,61.91,61.99
l,61.99,62.11
er,62.11,62.09
n,62.09,62.16
b,62.28,62.34
ah,62.34,62.34
t,62.34,62.35
ih,62.41,62.42
t,62.42,62.45
s,62.45,62.52
ao,62.559999,62.67
l,62.67,62.65
s,62.65,62.75
ow,62.75,62.81
d,62.9,62.98
ih,62.98,62.94
p,62.94,63.06
eh,63.06,63.0
n,63.0,63.11
d,63.11,63.06
ah,63.06,63.19
n,63.19,63.12
t,63.12,63.18
m,63.730000000000004,63.92
eh,63.92,63.8
n,63.8,64.0
iy,64.0,64.13
ah,64.23,64.34
dh,64.34,64.3
er,64.3,64.44
f,64.59,64.7
ae,64.7,64.66
k,64.66,64.79
t,64.79,64.76
er,64.76,64.86
z,64.86,64.96
s,65.679999,65.77
ow,65.77,65.83
t,65.83,65.9
ey,65.9,65.89
k,65.89,65.95
f,66.02,66.09
er,66.09,66.18
ih,66.179999,66.21
g,66.21,66.22
z,66.22,66.26
ae,66.26,66.28
m,66.28,66.33
p,66.33,66.33
ah,66.33,66.35
l,66.35,66.38
m,66.599999,66.67
ay,66.67,66.74
ow,66.74,66.86
n,66.86,66.91
ih,66.91,66.96
k,66.96,66.96
s,66.96,67.05
p,67.05,67.02
ih,67.02,67.14
r,67.14,67.05
iy,67.05,67.18
ah,67.18,67.06
n,67.06,67.27
s,67.27,67.11
ih,67.11,67.34
z,67.34,67.4
ah,67.639999,67.75
n,67.75,67.74
d,67.74,67.79
p,67.929999,67.98
iy,67.98,67.97
p,67.97,68.03
ah,68.03,68.01
l,68.01,68.07
hh,68.179999,68.24
ae,68.24,68.21
v,68.21,68.28
ae,68.37,68.5
s,68.5,68.41
t,68.41,68.49
m,68.62,68.69
iy,68.69,68.84
hh,68.849999,68.98
aw,68.98,69.08
d,69.099999,69.16
ih,69.16,69.14
d,69.14,69.21
y,69.27,69.33
uw,69.33,69.43
l,69.429999,69.57
er,69.57,69.51
n,69.51,69.62
l,69.77,69.85
ih,69.85,69.82
p,69.82,69.88
r,69.98,70.03
iy,70.03,70.05
d,70.05,70.05
ih,70.05,70.09
ng,70.09,70.18
ah,70.469999,70.59
n,70.59,70.48
d,70.48,70.49
hh,70.859999,71.0
aw,71.0,71.09
y,71.190001,71.23
uw,71.23,71.35
d,71.35,71.45
uw,71.45,71.53
ih,71.529999,71.58
t,71.58,71.75
ay,72.47,72.59
d,72.59,72.65
ow,72.65,72.61
n,72.61,72.66
hh,72.73,72.81
ae,72.81,72.79
v,72.79,72.84
ah,72.92,72.95
n,72.95,72.99
ae,72.99,73.03
n,73.03,73.07
s,73.07,73.08
er,73.08,73.15
f,73.23,73.28
er,73.28,73.34
dh,73.34,73.35
ah,73.35,73.35
t,73.35,73.39
ih,73.57,73.69
t,73.69,73.79
jh,73.8,73.9
ah,73.9,73.87
s,73.87,73.96
t,73.96,73.97
k,74.1,74.26
ey,74.26,74.2
m,74.2,74.28
t,74.44,74.48
ih,74.48,74.54
m,74.55,74.63
iy,74.63,74.73
ay,74.76,74.85
d,74.85,74.9
ih,74.9,74.91
n,74.91,75.05
t,75.05,75.1
d,75.17,75.24
ih,75.24,75.25
l,75.25,75.35
ih,75.35,75.3
b,75.3,75.41
er,75.41,75.39
ah,75.39,75.42
t,75.42,75.45
l,75.45,75.49
iy,75.49,75.63
l,76.14,76.29
er,76.29,76.22
n,76.22,76.28
t,76.43,76.51
uw,76.51,76.56
d,76.56,76.62
uw,76.62,76.67
ih,76.67,76.74
t,76.74,76.8
jh,76.91,77.01
ah,77.01,76.97
s,76.97,77.05
t,77.05,77.1
k,77.16,77.24
ey,77.24,77.24
m,77.24,77.39
n,77.47,77.57
ae,77.57,77.59
ch,77.59,77.73
er,77.73,77.66
ah,77.66,77.79
l,77.79,77.73
iy,77.73,77.9
f,78.36,78.53
ao,78.53,78.45
r,78.45,78.53
m,78.7,78.75
iy,78.75,78.8
b,78.8,78.84
ih,78.84,78.85
k,78.85,78.88
ao,78.88,78.9
z,78.9,78.97
ay,79.09,79.26
g,79.26,79.38
r,79.38,79.33
uw,79.33,79.4
ah,79.52,79.58
p,79.58,79.65
ih,79.95,80.09
n,80.09,80.24
ey,80.26,80.41
hh,80.42,80.51
iy,80.51,80.5
r,80.5,80.56
ih,80.56,80.54
ng,80.54,80.61
w,80.75,80.84
er,80.84,80.81
l,80.81,80.86
d,80.86,80.91
ay,81.0,81.19
g,81.19,81.28
r,81.28,81.26
uw,81.26,81.3
ah,81.389999,81.44
p,81.44,81.53
ih,81.73,81.82
n,81.82,81.87
ah,81.87,81.94
hh,81.94,81.98
iy,81.98,82.01
r,82.01,82.06
ih,82.06,82.03
ng,82.03,82.11
f,82.23,82.33
ae,82.33,82.34
m,82.34,82.4
l,82.4,82.41
iy,82.41,82.53
ay,82.92,83.13
w,83.13,83.18
eh,83.18,83.17
n,83.17,83.23
t,83.23,83.28
t,83.32,83.38
uw,83.38,83.53
m,83.55,83.71
ey,83.71,83.64
n,83.64,83.81
s,83.81,83.72
t,83.72,83.87
r,83.87,83.82
iy,83.82,83.95
m,83.95,84.04
s,84.32,84.41
k,84.41,84.39
uw,84.39,84.5
l,84.5,84.66
m,84.74,84.85
ey,84.85,84.83
n,84.83,84.88
s,84.88,84.91
t,84.91,84.93
r,84.93,84.94
iy,84.94,85.01
m,85.01,85.06
y,85.259999,85.29
uw,85.29,85.32
n,85.32,85.31
ah,85.31,85.38
v,85.38,85.37
er,85.37,85.48
s,85.48,85.43
ah,85.43,85.54
t,85.54,85.5
iy,85.5,85.72
ah,86.32,86.44
n,86.44,86.41
d,86.41,86.44
b,86.57,86.66
iy,86.66,86.6
ih,86.6,86.7
ng,86.7,86.78
s,86.809999,86.88
er,86.88,86.91
aw,86.91,86.93
n,86.93,86.95
d,86.95,86.96
ih,86.96,86.98
d,86.98,87.02
b,87.17,87.23
ay,87.23,87.41
hh,87.49,87.62
iy,87.62,87.55
r,87.55,87.7
ih,87.7,87.57
ng,87.57,87.64
p,87.849999,87.89
iy,87.89,87.92
p,87.92,87.96
ah,87.96,87.97
l,87.97,88.09
ae,88.25,88.33
t,88.33,88.43
m,88.43,88.46
ay,88.46,88.61
jh,88.619999,88.77
aa,88.77,88.75
b,88.75,88.85
z,88.85,88.99
dh,89.6,89.74
ae,89.74,89.71
t,89.71,89.79
s,89.79,89.8
jh,89.940001,89.99
ah,89.99,90.0
s,90.0,90.04
t,90.04,90.1
dh,90.16,90.2
ah,90.2,90.24
w,90.24,90.32
ey,90.32,90.43
ay,90.43,90.53
v,90.53,90.62
b,90.62,90.67
ih,90.67,90.71
n,90.71,90.79
l,90.84,90.89
ih,90.89,90.9
v,90.9,90.94
ih,90.94,90.93
ng,90.93,90.97
m,91.07,91.15
ay,91.15,91.24
l,91.24,91.32
ay,91.32,91.36
f,91.36,91.41
ah,91.54,91.66
n,91.66,91.62
d,91.62,91.67
b,91.79,91.84
ih,91.84,91.84
k,91.84,91.92
ao,91.92,91.9
z,91.9,91.98
ah,92.12,92.18
v,92.18,92.23
ay,92.69,92.9
n,92.9,93.07
ae,93.07,93.03
ch,93.03,93.23
r,93.23,93.08
ah,93.08,93.24
l,93.24,93.21
iy,93.21,93.4
t,94.2,94.21
ah,94.21,94.22
ah,94.24,94.34
jh,94.34,94.44
ah,94.44,94.43
s,94.43,94.52
t,94.52,94.58
dh,95.06,95.15
ah,95.15,95.21
w,95.21,95.35
ey,95.35,95.52
ay,95.55,95.7
k,95.7,95.77
ah,95.77,95.77
m,95.77,95.8
y,95.8,95.78
uw,95.78,95.83
n,95.83,95.81
ah,95.81,95.88
k,95.88,95.89
ey,95.89,95.93
t,95.93,95.99
w,96.18,96.19
ih,96.19,96.19
th,96.19,96.23
p,96.25,96.3
iy,96.3,96.32
p,96.32,96.35
ah,96.35,96.37
l,96.37,96.47
ah,96.59,96.68
n,96.68,96.64
d,96.64,96.72
t,96.81,96.88
uw,96.88,96.97
hh,96.97,97.1
iy,97.1,97.07
r,97.07,97.12
p,97.31,97.33
iy,97.33,97.39
p,97.39,97.4
ah,97.4,97.43
l,97.43,97.57
b,97.98,98.08
ay,98.08,98.41
f,98.45,98.53
ow,98.53,98.53
k,98.53,98.6
ah,98.6,98.57
s,98.57,98.64
ih,98.64,98.62
ng,98.62,98.73
ao,98.94,99.06
n,99.06,99.25
dh,99.26,99.36
eh,99.36,99.35
r,99.35,99.46
b,99.61,99.68
aa,99.68,99.67
d,99.67,99.75
iy,99.75,99.76
l,99.96000000000001,99.97
ae,99.97,99.97
ng,99.97,100.01
g,100.01,100.0
w,100.0,100.04
ah,100.04,100.07
jh,100.07,100.09
dh,100.21000000000001,100.26
eh,100.26,100.28
r,100.28,100.36
l,100.41,100.52
ih,100.52,100.47
p,100.47,100.61
s,100.61,100.89
dh,101.03999999999999,101.18
eh,101.18,101.17
r,101.17,101.31
jh,101.69,101.81
eh,101.81,101.77
s,101.77,101.9
ch,101.9,101.88
er,101.88,101.89
dh,102.099999,102.11
eh,102.11,102.11
r,102.11,102.2
f,102.41,102.53
ey,102.53,102.48
sh,102.48,102.6
ah,102.6,102.53
l,102.53,102.55
ih,102.74,102.8
k,102.8,102.77
s,102.77,102.85
p,102.85,102.81
r,102.81,102.92
eh,102.92,102.86
sh,102.86,102.99
ah,102.99,102.92
n,102.92,103.04
z,103.04,103.12
ao,103.38,103.53
l,103.53,103.64
dh,103.639999,103.7
iy,103.7,103.73
z,103.73,103.79
th,103.86,103.93
ih,103.93,103.92
ng,103.92,104.05
z,104.05,104.13
dh,104.44,104.54
ey,104.54,104.61
jh,104.61,104.66
ah,104.66,104.64
s,104.64,104.7
t,104.7,104.74
k,104.77,104.88
ey,104.88,104.85
m,104.85,105.07
n,105.179999,105.26
ae,105.26,105.31
ch,105.31,105.43
er,105.43,105.32
ah,105.32,105.44
l,105.44,105.49
iy,105.49,105.56
t,105.82,105.92
uw,105.92,105.99
m,105.99,106.06
iy,106.06,106.19
ah,106.690001,106.77
n,106.77,106.74
d,106.74,106.76
aa,106.84,106.87
n,106.87,106.93
t,106.959999,107.0
aa,107.0,107.01
p,107.01,107.07
ah,107.109999,107.15
v,107.15,107.23
ay,107.43,107.58
d,107.58,107.66
ih,107.66,107.66
d,107.66,107.73
hh,107.82,107.94
ae,107.94,107.95
v,107.95,108.07
ah,108.55,108.62
s,108.62,108.71
p,108.71,108.72
iy,108.72,108.75
ch,108.75,108.82
th,108.92,109.01
eh,109.01,108.94
r,108.94,109.11
ah,109.11,108.98
p,108.98,109.19
ih,109.19,109.06
s,109.06,109.21
t,109.21,109.24
ay,109.41,109.52
hh,109.52,109.57
ae,109.57,109.6
d,109.6,109.61
t,109.69,109.76
ih,109.76,109.8
g,109.8,109.87
ow,109.87,109.99
th,109.99,110.11
r,110.11,110.06
uw,110.06,110.12
dh,110.24,110.29
ae,110.29,110.33
t,110.33,110.46
p,110.83,110.91
r,110.91,110.87
ao,110.87,110.98
s,110.98,110.98
eh,110.98,111.09
s,111.09,111.15
w,111.35,111.49
ah,111.49,111.41
n,111.41,111.55
s,111.55,111.59
ah,111.65,111.75
w,111.75,111.81
iy,111.81,111.85
k,111.85,111.93
ah,112.19,112.3
n,112.3,112.22
d,112.22,112.27
ao,112.39,112.49
l,112.49,112.5
s,112.5,112.59
ow,112.59,112.79
aa,112.94,113.05
b,113.05,112.96
v,112.96,113.1
iy,113.1,112.97
ah,112.97,113.13
s,113.13,113.02
l,113.02,113.16
iy,113.16,113.23
g,113.31,113.39
ow,113.39,113.5
th,113.5,113.63
r,113.63,113.59
uw,113.59,113.67
eh,114.56,114.66
z,114.66,114.72
w,114.72,114.79
eh,114.79,114.84
l,114.84,114.92
ae,114.99,115.04
n,115.04,115.03
d,115.03,115.07
ay,115.12,115.2
r,115.23,115.24
ih,115.24,115.29
m,115.29,115.25
eh,115.25,115.36
m,115.36,115.32
b,115.32,115.4
er,115.4,115.38
d,115.38,115.45
w,115.66,115.78
ah,115.78,115.75
n,115.75,115.8
t,115.92,116.02
ay,116.02,116.11
m,116.11,116.22
er,116.48,116.59
m,116.59,116.65
eh,116.65,116.64
n,116.64,116.7
iy,116.7,116.74
t,116.78999999999999,116.87
ay,116.87,116.86
m,116.86,116.88
z,116.88,116.89
ae,117.11,117.12
k,117.12,117.12
ch,117.12,117.18
uw,117.18,117.14
ah,117.14,117.19
l,117.19,117.21
iy,117.21,117.34
ay,118.02,118.35
d,118.36,118.51
uw,118.51,118.61
dh,118.61,118.68
iy,118.68,118.7
z,118.7,118.77
t,118.87,118.99
eh,118.99,118.98
s,118.98,119.03
t,119.03,118.99
s,118.99,119.08
w,119.24,119.29
eh,119.29,119.34
r,119.34,119.38
n,119.429999,119.51
aa,119.51,119.48
t,119.48,119.52
ow,119.599999,119.68
n,119.68,119.64
l,119.64,119.75
iy,119.75,119.83
dh,119.87,119.94
ey,119.94,120.02
d,120.02,120.08
uw,120.08,120.17
dh,120.17,120.22
eh,120.22,120.26
r,120.26,120.36
s,120.66,120.82
aw,120.82,120.77
n,120.77,120.91
d,120.91,120.97
t,121.08,121.15
eh,121.15,121.2
s,121.2,121.17
t,121.17,121.21
s,121.21,121.26
w,121.349999,121.39
eh,121.39,121.39
r,121.39,121.43
y,121.469999,121.5
uw,121.5,121.55
p,121.549999,121.6
uh,121.6,121.6
t,121.6,121.64
dh,121.69,121.73
ah,121.73,121.79
hh,121.78999999999999,121.87
eh,121.87,121.86
d,121.86,121.95
f,121.95,121.94
ow,121.94,122.02
n,122.02,122.0
z,122.0,122.1
ao,122.33,122.46
n,122.46,122.55
ah,122.58,122.65
n,122.65,122.66
d,122.66,122.76
hh,123.32,123.44
iy,123.44,123.42
r,123.42,123.49
dh,123.61,123.67
ah,123.67,123.72
b,123.719999,123.81
iy,123.81,123.82
p,123.82,123.91
ae,124.0,124.05
n,124.05,124.03
d,124.03,124.07
y,124.119999,124.13
uw,124.13,124.2
k,124.19999899999999,124.27
l,124.27,124.24
ih,124.24,124.32
k,124.32,124.4
y,124.440001,124.47
uh,124.47,124.45
r,124.45,124.48
b,124.51,124.57
ah,124.57,124.59
t,124.59,124.6
ah,124.6,124.64
n,124.64,124.75
b,125.129999,125.21
ah,125.21,125.2
t,125.2,125.26
dh,125.35,125.46
ey,125.46,125.55
ao,125.549999,125.66
l,125.66,125.68
s,125.68,125.75
ow,125.75,125.84
l,125.969999,126.03
ay,126.03,126.05
k,126.05,126.07
t,126.07,126.08
t,126.17,126.22
ih,126.22,126.27
d,126.27,126.32
uw,126.32,126.38
ah,126.38,126.41
n,126.41,126.44
ah,126.44,126.47
dh,126.47,126.51
er,126.51,126.58
th,126.67,126.73
ih,126.73,126.76
ng,126.76,126.89
w,126.98,127.1
eh,127.1,127.11
r,127.11,127.22
dh,127.38,127.49
ey,127.49,127.83
k,128.07,128.19
ah,128.19,128.15
v,128.15,128.27
er,128.27,128.36
dh,128.44,128.51
eh,128.51,128.51
r,128.51,128.54
m,128.61,128.62
aw,128.62,128.62
th,128.62,128.63
